Index,Country,Type,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
97,Israel,Country/Area,1258,1345,1436,1525,1611,1692,1767,1839,1910,1983,2060,2145,2234,2325,2412,2490,2559,2619,2677,2740,2814,2900,2996,3099,3201,3297,3387,3472,3552,3628,3701,3771,3838,3904,3969,4035,4101,4167,4242,4334,4448,4589,4753,4929,5106,5271,5424,5567,5699,5825,5946,6061,6169,6278,6397,6529,6681,6847,7021,7190,7346,7487,7615,7735,7854,7978,8109,8244,8382,8519,8656
98,Jordan,Country/Area,481,536,576,610,644,683,728,779,833,886,933,974,1011,1050,1102,1174,1267,1379,1500,1617,1721,1809,1884,1948,2008,2066,2123,2179,2238,2303,2378,2465,2564,2671,2784,2900,3015,3132,3257,3399,3566,3760,3978,4202,4410,4589,4733,4849,4944,5032,5122,5217,5318,5434,5580,5766,5992,6255,6556,6893,7262,7663,8090,8519,8919,9267,9554,9786,9965,10102,10203
99,Kuwait,Country/Area,153,158,163,168,174,182,192,205,222,243,269,301,337,379,424,472,523,577,633,689,744,799,852,906,962,1022,1086,1154,1224,1296,1369,1439,1508,1577,1652,1735,1832,1939,2035,2093,2095,2031,1912,1773,1659,1606,1627,1710,1831,1952,2045,2103,2137,2162,2200,2270,2374,2504,2656,2821,2992,3168,3349,3526,3691,3836,3957,4056,4137,4207,4271
100,Lebanon,Country/Area,1335,1358,1393,1435,1482,1532,1584,1637,1691,1747,1805,1865,1925,1985,2041,2092,2137,2175,2211,2250,2297,2354,2418,2482,2537,2576,2596,2602,2597,2591,2589,2594,2606,2622,2638,2652,2661,2668,2685,2726,2803,2922,3076,3246,3403,3528,3611,3658,3694,3748,3843,3991,4182,4388,4569,4699,4760,4767,4765,4813,4953,5202,5538,5913,6261,6533,6714,6819,6859,6856,6825
101,Oman,Country/Area,456,462,469,477,486,496,506,516,528,539,552,565,579,593,609,625,642,660,680,701,724,749,776,807,842,882,927,978,1033,1092,1154,1221,1290,1361,1431,1498,1561,1620,1678,1741,1812,1894,1983,2072,2148,2204,2237,2250,2252,2255,2268,2295,2335,2386,2446,2511,2581,2657,2751,2876,3041,3251,3498,3765,4027,4267,4479,4666,4829,4975,5107
102,Qatar,Country/Area,25,27,30,32,34,36,38,39,42,44,47,51,56,62,68,74,80,86,93,101,110,119,131,142,154,164,174,182,192,205,224,248,277,309,341,371,398,422,444,462,476,487,495,501,507,513,523,535,552,570,592,615,641,682,753,865,1023,1218,1437,1655,1856,2036,2196,2337,2459,2566,2654,2725,2782,2832,2881
103,Saudi Arabia,Country/Area,3121,3199,3284,3373,3465,3558,3654,3752,3855,3966,4087,4219,4363,4517,4677,4844,5015,5195,5388,5600,5836,6101,6393,6712,7055,7419,7803,8208,8647,9138,9691,10312,10989,11701,12419,13119,13794,14446,15070,15666,16234,16773,17283,17763,18214,18639,19034,19407,19783,20195,20664,21203,21805,22457,23133,23816,24498,25185,25889,26630,27421,28268,29155,30052,30917,31718,32443,33101,33703,34269,34814
104,State of Palestine,Country/Area,932,924,932,949,969,988,1004,1018,1032,1048,1069,1097,1129,1159,1182,1191,1185,1166,1142,1126,1127,1146,1182,1229,1279,1324,1364,1400,1435,1471,1511,1554,1601,1651,1704,1760,1818,1880,1946,2020,2101,2191,2288,2391,2502,2619,2743,2872,3001,3120,3224,3310,3380,3442,3505,3578,3662,3756,3857,3958,4056,4150,4242,4334,4429,4529,4636,4747,4863,4981,5101
105,Syrian Arab Republic,Country/Area,3413,3499,3591,3691,3798,3911,4032,4159,4292,4430,4574,4722,4875,5035,5200,5373,5553,5741,5936,6139,6351,6571,6800,7038,7283,7536,7795,8061,8336,8626,8931,9253,9590,9939,10293,10649,11004,11361,11719,12080,12446,12815,13188,13565,13950,14345,14754,15175,15600,16014,16411,16767,17085,17415,17828,18361,19059,19878,20664,21206,21363,21082,20439,19578,18711,17997,17466,17096,16945,17070,17501
106,Turkey,Country/Area,21408,21951,22509,23082,23669,24271,24886,25515,26156,26809,27472,28147,28833,29531,30244,30973,31718,32478,33256,34055,34876,35721,36587,37472,38370,39277,40190,41108,42040,42994,43976,44988,46025,47073,48114,49134,50129,51101,52054,52992,53922,54841,55749,56654,57564,58486,59423,60373,61330,62287,63240,64192,65145,66089,67011,67903,68757,69582,70419,71321,72327,73443,74651,75925,77229,78529,79828,81116,82340,83430,84339
107,United Arab Emirates,Country/Area,70,67,69,73,77,80,82,83,84,87,92,101,112,125,138,150,160,170,183,203,235,277,331,395,467,548,638,735,835,932,1020,1097,1165,1228,1294,1366,1446,1534,1627,1726,1828,1937,2053,2173,2294,2415,2539,2671,2813,2966,3134,3303,3479,3712,4069,4588,5300,6169,7089,7917,8550,8947,9142,9198,9214,9263,9361,9487,9631,9771,9890
108,Yemen,Country/Area,4661,4717,4776,4838,4901,4966,5032,5099,5169,5241,5315,5393,5474,5557,5642,5728,5816,5908,6002,6097,6193,6290,6391,6501,6630,6785,6968,7179,7414,7670,7942,8232,8542,8869,9213,9572,9941,10322,10731,11189,11710,12302,12954,13634,14298,14913,15469,15976,16450,16921,17409,17918,18444,18985,19540,20107,20688,21283,21892,22516,23155,23808,24473,25147,25823,26498,27168,27835,28499,29162,29826
111,Kazakhstan,Country/Area,6703,6812,7007,7269,7582,7933,8309,8702,9107,9519,9935,10349,10757,11148,11512,11842,12133,12386,12611,12825,13036,13250,13464,13673,13870,14050,14212,14360,14500,14643,14796,14959,15128,15303,15483,15666,15853,16039,16206,16327,16384,16373,16303,16181,16022,15839,15632,15406,15190,15021,14923,14910,14976,15100,15250,15403,15551,15702,15862,16043,16252,16491,16752,17026,17303,17572,17831,18080,18320,18551,18777
112,Kyrgyzstan,Country/Area,1740,1766,1795,1828,1864,1904,1947,1995,2047,2105,2170,2242,2319,2401,2485,2569,2653,2736,2817,2896,2970,3040,3106,3168,3230,3291,3353,3414,3477,3543,3611,3683,3757,3834,3913,3993,4075,4159,4239,4312,4373,4420,4454,4484,4519,4566,4629,4706,4787,4861,4921,4963,4991,5014,5039,5075,5124,5184,5255,5335,5422,5518,5622,5731,5845,5959,6074,6190,6304,6416,6524
113,Tajikistan,Country/Area,1532,1585,1638,1690,1742,1794,1847,1902,1959,2021,2087,2159,2237,2318,2402,2488,2575,2662,2751,2840,2930,3020,3111,3203,3296,3391,3488,3587,3688,3794,3905,4021,4140,4265,4398,4538,4687,4844,5001,5150,5284,5401,5502,5593,5679,5765,5851,5938,6027,6120,6216,6319,6427,6542,6662,6789,6923,7063,7210,7365,7527,7698,7875,8060,8253,8454,8664,8880,9101,9321,9538
114,Turkmenistan,Country/Area,1211,1232,1258,1290,1325,1365,1407,1452,1500,1550,1603,1658,1715,1774,1833,1893,1952,2012,2072,2133,2195,2259,2324,2390,2457,2525,2594,2664,2735,2806,2877,2948,3019,3092,3166,3244,3324,3407,3494,3586,3684,3789,3900,4011,4115,4208,4287,4355,4413,4466,4516,4564,4610,4656,4703,4755,4810,4870,4936,5008,5087,5174,5268,5366,5466,5565,5662,5758,5851,5942,6031
115,Uzbekistan,Country/Area,6264,6470,6668,6865,7066,7277,7500,7737,7987,8251,8526,8814,9114,9429,9763,10117,10493,10889,11295,11695,12080,12446,12797,13141,13491,13857,14243,14644,15057,15477,15899,16322,16747,17178,17615,18061,18516,18976,19444,19918,20398,20885,21375,21862,22336,22791,23225,23640,24036,24412,24770,25109,25431,25749,26078,26428,26804,27205,27627,28065,28516,28977,29449,29933,30426,30930,31442,31960,32476,32982,33469
117,Afghanistan,Country/Area,7752,7840,7936,8040,8151,8271,8399,8535,8680,8834,8997,9169,9351,9543,9745,9956,10175,10400,10637,10894,11174,11475,11791,12109,12413,12689,12943,13171,13341,13411,13357,13172,12883,12538,12204,11938,11736,11605,11618,11869,12412,13299,14486,15817,17076,18111,18853,19357,19738,20171,20780,21607,22601,23681,24727,25654,26433,27101,27722,28395,29186,30117,31161,32270,33371,34414,35383,36296,37172,38042,38928
118,Bangladesh,Country/Area,37895,38706,39490,40292,41150,42086,43114,44233,45435,46701,48014,49363,50752,52202,53742,55385,57158,59034,60918,62680,64232,65532,66626,67638,68742,70066,71652,73464,75450,77529,79639,81768,83932,86142,88417,90764,93188,95671,98186,100695,103172,105599,107984,110351,112738,115170,117650,120161,122683,125190,127658,130089,132478,134792,136986,139036,140921,142660,144304,145925,147575,149273,151006,152761,154517,156256,157977,159685,161377,163046,164689
119,Bhutan,Country/Area,177,181,185,189,193,197,202,207,212,218,223,229,235,241,247,254,262,270,279,288,297,307,317,327,337,348,360,371,383,395,407,418,429,440,451,464,479,494,510,522,531,535,535,533,532,535,541,552,564,578,591,604,616,628,639,649,657,665,672,678,686,693,702,710,719,728,737,746,754,763,772
120,India,Country/Area,376325,382377,388799,395544,402579,409881,417443,425271,433381,441799,450548,459642,469077,478826,488848,499123,509632,520401,531514,543084,555190,567868,581087,594770,608803,623103,637630,652409,667500,682995,698953,715385,732239,749429,766833,784360,801975,819682,837469,855335,873278,891273,909307,927404,945602,963923,982365,1000900,1019484,1038058,1056576,1075000,1093317,1111523,1129623,1147610,1165486,1183209,1200670,1217726,1234281,1250288,1265780,1280842,1295601,1310152,1324517,1338677,1352642,1366418,1380004
121,Iran (Islamic Republic of),Country/Area,17119,17517,17934,18369,18823,19294,19783,20289,20811,21351,21907,22480,23071,23680,24308,24955,25624,26318,27033,27765,28514,29282,30075,30906,31786,32730,33734,34803,35961,37237,38650,40200,41869,43637,45473,47347,49260,51194,53077,54822,56366,57679,58780,59724,60591,61443,62295,63136,63972,64801,65623,66449,67285,68123,68951,69762,70555,71336,72121,72925,73763,74635,75540,76482,77466,78492,79564,80674,81800,82914,83993
122,Maldives,Country/Area,74,74,75,76,78,80,82,83,85,88,90,92,95,98,100,103,105,107,110,113,116,119,123,128,132,136,141,145,149,153,158,164,170,176,183,190,196,203,210,217,223,230,236,243,249,254,259,264,268,274,279,286,294,303,311,320,327,335,343,353,366,380,397,416,435,455,476,496,516,531,541
123,Nepal,Country/Area,8483,8664,8835,8999,9159,9317,9473,9630,9787,9945,10105,10267,10433,10605,10784,10973,11173,11383,11604,11835,12075,12324,12583,12852,13131,13420,13719,14029,14348,14677,15016,15367,15729,16101,16477,16858,17240,17624,18021,18445,18905,19406,19938,20490,21041,21576,22090,22585,23058,23510,23941,24347,24726,25081,25419,25745,26067,26383,26667,26884,27013,27041,26989,26917,26906,27015,27263,27633,28096,28609,29137
124,Pakistan,Country/Area,37542,37993,38517,39109,39767,40488,41270,42111,43011,43971,44989,46065,47199,48387,49628,50918,52260,53656,55103,56598,58142,59734,61382,63099,64906,66817,68834,70958,73197,75561,78054,80680,83432,86286,89214,92192,95215,98286,101390,104513,107648,110779,113911,117087,120363,123777,127349,131057,134843,138625,142344,145978,149550,153093,156665,160304,164023,167808,171649,175526,179425,183340,187280,191261,195305,199427,203631,207906,212228,216565,220892
125,Sri Lanka,Country/Area,7971,8108,8257,8417,8591,8778,8979,9191,9412,9641,9874,10112,10352,10598,10850,11111,11381,11658,11938,12215,12486,12748,13002,13252,13502,13755,14013,14273,14534,14789,15036,15273,15501,15725,15949,16176,16409,16644,16878,17107,17326,17536,17737,17925,18094,18243,18367,18471,18565,18663,18778,18912,19062,19224,19387,19545,19696,19842,19984,20124,20262,20398,20533,20663,20789,20908,21021,21128,21229,21324,21413
128,China,Country/Area,554419,569909,582576,593366,603052,612242,621363,630678,640296,650213,660408,670953,682103,694339,708255,724219,742415,762581,784075,805986,827601,848760,869486,889485,908464,926241,942685,957891,972205,986132,1000089,1014022,1027949,1042431,1058172,1075589,1095014,1116095,1137724,1158357,1176884,1192897,1206711,1218817,1230020,1240921,1251636,1261996,1271982,1281515,1290551,1299130,1307352,1315304,1323085,1330776,1338409,1345994,1353569,1361169,1368811,1376498,1384206,1391883,1399454,1406848,1414049,1421022,1427648,1433784,1439324
129,China, Hong Kong SAR,Country/Area,1974,2058,2150,2251,2359,2473,2591,2710,2828,2941,3046,3143,3230,3311,3390,3467,3546,3625,3703,3778,3849,3914,3974,4038,4114,4209,4326,4462,4607,4746,4869,4972,5058,5134,5208,5287,5373,5465,5557,5646,5728,5800,5865,5928,6000,6084,6186,6300,6417,6522,6606,6665,6702,6725,6745,6770,6802,6840,6882,6925,6966,7007,7047,7089,7135,7186,7244,7306,7372,7436,7497
130,China, Macao SAR,Country/Area,196,200,201,199,195,189,183,177,172,168,168,170,176,184,194,203,213,223,233,241,246,249,249,247,244,242,239,237,235,235,238,243,251,261,272,283,296,308,321,333,344,354,362,370,378,386,393,401,410,418,428,438,449,460,472,483,494,505,515,526,538,551,564,577,590,602,613,623,632,640,649
131,China, Taiwan Province of China,Country/Area,7602,7931,8251,8565,8877,9190,9506,9830,10164,10512,10876,11258,11655,12065,12482,12901,13322,13743,14157,14553,14924,15268,15586,15885,16176,16465,16755,17043,17331,17619,17905,18192,18478,18760,19036,19303,19560,19807,20042,20266,20479,20679,20868,21045,21207,21356,21489,21608,21722,21839,21967,22109,22262,22420,22570,22706,22824,22927,23019,23105,23188,23269,23347,23422,23492,23557,23618,23675,23726,23774,23817
132,Dem. People's Republic of Korea,Country/Area,10549,10249,10049,9957,9972,10087,10286,10547,10844,11145,11424,11666,11872,12065,12282,12548,12865,13223,13610,14010,14410,14810,15208,15593,15952,16275,16555,16797,17016,17236,17472,17731,18009,18298,18590,18877,19157,19432,19708,19994,20293,20609,20937,21266,21578,21862,22113,22335,22537,22731,22929,23133,23339,23542,23733,23904,24055,24188,24310,24428,24549,24673,24801,24930,25058,25184,25308,25430,25550,25666,25779
133,Japan,Country/Area,82802,84316,85659,86870,87981,89018,90004,90954,91878,92782,93674,94561,95459,96389,97379,98447,99596,100822,102124,103496,104929,106427,107976,109529,111023,112413,113679,114828,115879,116867,117817,118733,119605,120428,121189,121883,122509,123073,123585,124059,124505,124930,125331,125707,126053,126365,126644,126893,127117,127326,127524,127714,127893,128058,128204,128326,128423,128494,128539,128555,128542,128499,128424,128314,128169,127985,127763,127503,127202,126860,126476
134,Mongolia,Country/Area,780,794,808,823,839,855,872,890,910,931,956,982,1011,1042,1075,1107,1140,1173,1207,1242,1279,1317,1357,1397,1438,1480,1521,1562,1604,1646,1690,1733,1778,1823,1871,1922,1976,2033,2090,2141,2184,2218,2243,2263,2280,2298,2317,2336,2356,2376,2397,2420,2443,2469,2496,2526,2559,2594,2632,2674,2720,2770,2825,2882,2940,2998,3056,3114,3170,3225,3278
135,Republic of Korea,Country/Area,19211,19453,19818,20293,20864,21515,22227,22984,23766,24553,25330,26084,26812,27518,28210,28896,29573,30237,30892,31544,32196,32851,33507,34154,34781,35379,35942,36475,36992,37511,38046,38602,39175,39748,40296,40804,41265,41687,42087,42491,42918,43373,43848,44335,44820,45293,45751,46196,46621,47017,47379,47706,48000,48261,48493,48701,48880,49035,49182,49347,49546,49786,50061,50346,50608,50823,50983,51096,51172,51225,51269
137,Brunei Darussalam,Country/Area,48,51,54,57,60,63,67,70,74,78,82,86,89,94,98,102,107,112,118,124,130,136,142,149,155,162,168,175,181,188,194,200,206,212,218,224,231,238,244,251,259,266,274,282,289,297,305,312,319,326,333,340,347,353,359,365,370,375,379,384,389,394,399,404,410,415,420,424,429,433,437
138,Cambodia,Country/Area,4433,4538,4656,4783,4914,5045,5177,5308,5441,5579,5722,5873,6028,6184,6331,6467,6585,6686,6780,6881,6997,7140,7302,7449,7533,7524,7405,7196,6957,6770,6694,6750,6920,7170,7448,7715,7961,8198,8436,8691,8976,9289,9624,9971,10318,10656,10983,11299,11601,11886,12155,12405,12638,12856,13066,13273,13478,13680,13884,14094,14312,14541,14780,15026,15275,15521,15766,16009,16250,16487,16719
139,Indonesia,Country/Area,69543,70849,72275,73821,75488,77273,79173,81179,83284,85478,87751,90098,92518,95015,97597,100267,103025,105866,108780,111759,114793,117880,121017,124200,127422,130681,133967,137278,140622,144010,147448,150938,154468,158009,161523,164982,168374,171703,174976,178209,181413,184592,187740,190851,193917,196934,199901,202826,205725,208615,211514,214427,217358,220309,223286,226289,229318,232374,235470,238621,241834,245116,248452,251805,255128,258383,261556,264651,267671,270626,273524
140,Lao People's Democratic Republic,Country/Area,1683,1723,1764,1806,1848,1891,1935,1980,2026,2073,2121,2170,2221,2273,2327,2383,2439,2497,2557,2620,2688,2762,2841,2919,2991,3052,3099,3136,3169,3207,3258,3323,3401,3490,3586,3688,3794,3906,4021,4139,4258,4379,4500,4620,4736,4846,4951,5050,5145,5235,5324,5410,5493,5577,5662,5752,5846,5945,6047,6149,6249,6348,6445,6541,6640,6741,6846,6953,7061,7169,7276
141,Malaysia,Country/Area,6110,6271,6450,6639,6837,7039,7246,7458,7678,7910,8156,8418,8692,8974,9254,9527,9790,10046,10298,10549,10804,11062,11324,11593,11871,12162,12469,12790,13123,13460,13798,14134,14471,14819,15192,15599,16044,16522,17022,17529,18030,18520,19003,19485,19978,20488,21018,21563,22115,22661,23194,23709,24208,24699,25191,25691,26202,26720,27236,27735,28208,28651,29068,29469,29867,30271,30685,31105,31528,31950,32366
142,Myanmar,Country/Area,17780,18104,18441,18793,19162,19550,19956,20380,20820,21273,21737,22212,22698,23198,23718,24259,24824,25410,26015,26636,27269,27914,28570,29238,29918,30611,31314,32027,32749,33481,34224,34976,35734,36492,37242,37977,38698,39404,40086,40731,41335,41890,42402,42890,43383,43902,44452,45027,45611,46181,46720,47225,47702,48149,48564,48950,49301,49621,49930,50250,50601,50991,51414,51852,52281,52681,53045,53383,53708,54045,54410
143,Philippines,Country/Area,18580,19247,19945,20670,21415,22177,22956,23752,24567,25406,26270,27161,28077,29013,29959,30910,31864,32824,33795,34786,35804,36850,37923,39023,40144,41286,42447,43629,44838,46080,47358,48673,50024,51409,52827,54276,55755,57264,58795,60341,61895,63455,65020,66594,68181,69784,71402,73031,74672,76326,77992,79673,81365,83052,84711,86326,87889,89405,90902,92414,93967,95570,97213,98872,100513,102113,103664,105173,106651,108117,109581
144,Singapore,Country/Area,1022,1068,1120,1178,1240,1305,1373,1440,1508,1572,1633,1690,1741,1789,1835,1878,1919,1959,1997,2035,2072,2111,2150,2190,2226,2260,2289,2315,2341,2373,2412,2461,2518,2581,2644,2706,2762,2817,2873,2937,3013,3101,3200,3306,3416,3526,3638,3752,3861,3955,4029,4077,4104,4129,4177,4266,4402,4579,4776,4967,5131,5264,5369,5454,5526,5592,5654,5708,5758,5804,5850
145,Thailand,Country/Area,20710,21263,21838,22437,23061,23711,24390,25097,25834,26600,27397,28224,29081,29967,30881,31823,32789,33779,34791,35827,36885,37963,39059,40160,41252,42326,43377,44406,45413,46402,47374,48326,49256,50174,51095,52027,52980,53946,54892,55772,56558,57232,57811,58338,58875,59467,60130,60847,61585,62299,62953,63539,64069,64550,64995,65416,65813,66182,66531,66867,67195,67518,67836,68145,68439,68715,68971,69210,69428,69626,69800
146,Timor-Leste,Country/Area,415,419,423,428,433,439,445,452,459,467,475,483,492,501,510,520,529,539,549,560,572,585,600,614,625,629,627,620,610,602,600,604,613,627,642,657,672,686,702,719,738,760,783,807,828,844,855,862,867,873,884,901,923,947,972,995,1016,1036,1055,1074,1094,1113,1133,1153,1174,1196,1219,1243,1268,1293,1318
147,Viet Nam,Country/Area,24810,25365,25977,26646,27370,28147,28973,29844,30754,31698,32670,33666,34683,35721,36780,37859,38958,40073,41194,42307,43405,44484,45548,46604,47658,48718,49785,50861,51959,53095,54282,55523,56814,58148,59513,60897,62294,63702,65120,66550,67989,69437,70883,72300,73651,74910,76069,77133,78116,79036,79910,80743,81534,82302,83063,83833,84618,85420,86243,87092,87968,88871,89802,90753,91714,92677,93640,94601,95546,96462,97339
150,Anguilla,Country/Area,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,9,9,9,9,9,10,10,10,10,11,11,11,12,12,12,12,12,13,13,13,13,13,14,14,14,14,14,14,15,15,15,15
